ISBN,Main Title,Sub Title,Author,Publisher,Book Cover,Designation,Subject Area,Publication Year,Language,CODE ID,Quantity 
9781491982273,Product Management in Practice,A Real-World Guide to the Key Connective Role of the 21st Century,Matt Lemay,O'Reilly Media,"https://images-na.ssl-images-amazon.com/images/I/51jcZmljSlL._SX332_BO1,204,203,200_.jpg",PM,IT Project Management,2018,en,PM13,1
9783744870788,Handbook for professional communication,,Hans Gutbrod,BoD,"https://images-na.ssl-images-amazon.com/images/I/51SRpKlXjSL._SX351_BO1,204,203,200_.jpg",PM,Self-Help,2017,en,PM14,1
9781847941107,Scrum,The art of doing twice the work in half the time,Jeff Sutherland,Random Hause Buisniess Books,https://images-na.ssl-images-amazon.com/images/I/81DyWSAcRYL.jpg,PM,IT Project Management,2015,en,PM15,1
9780008139384,Creative confidence,Unleashing the Creative Potential within Us All,"Tom Kelly, David Kelly",HarperCollins,"https://images-na.ssl-images-amazon.com/images/I/41jdjijYb7L._SX324_BO1,204,203,200_.jpg",PM,Self-Help,2015,en,PM16,1
9780142181775,Hardball for women,Winning at the Game of Buisniess,"Pat Heim, Tammy Hughes, Susan K.Golant",Penguin Group,"https://images-na.ssl-images-amazon.com/images/I/41QtXE7JyGL._SX330_BO1,204,203,200_.jpg",PM,Women,2015,en,PM17,1
9781633690196,On Emotional Intellgence,,multiple authors,Harvard Business School Publishing Corporation,https://images-na.ssl-images-amazon.com/images/I/414kia7-RmL.jpg,PM,Motivational,2015,en,PM18,1
9780241184837,Hooked,How to Bulild Habit-Forming Products,Nir Eyal,Penguin Group,"https://images-na.ssl-images-amazon.com/images/I/41CLybict0L._SX322_BO1,204,203,200_.jpg",PM,Marketing,2014,en,PM19,1
9780743226745,The Power of Full Engagement,"Managing Energy, Not Time, Is the Key to High Permformance and Personal Renewal","Jim Loehr, Tony Schwartz",Simon & Schuster,"https://images-na.ssl-images-amazon.com/images/I/51EPV1VA7AL._SX303_BO1,204,203,200_.jpg",PM,Stress,2005,en,PM20,1
9781107641426,The Cambridge Handbook of Consumer Psychology,,"Editors: Michael I. Norton, Derek D. Rucker, Cait Lamberton",Cambridge University Press,"https://images-na.ssl-images-amazon.com/images/I/51KDN6B0FgL._SX348_BO1,204,203,200_.jpg",PM,Psychology,2016,en,PM21,1
9783800646180,Konsumentenverhalten,,"Werner Kroeber-Riel, Andrea Groeppel-Klein",Vahlen,"https://images-na.ssl-images-amazon.com/images/I/41aTTiH%2BSmL._SX331_BO1,204,203,200_.jpg",PM,Psychology,2013,de,PM22,2
9783319650906,Cross Cultural Issues in Consumer Science and Consumer Psychology,Current Perspective and Future Directions,"Hester Van Herk, Carlos J. Torelli",Springer International Publishing,https://m.media-amazon.com/images/I/61K052pFeyL._AC_UY436_FMwebp_QL65_.jpg,PM,Psycology,2017,en,PM23,1
9780335207220,The social Psychology of Consumer Behaviour,,"Richerd P. Bagozzi, Zaynerp Guerhan-Canle, Joseph R. Priester",Open University Press,"https://images-na.ssl-images-amazon.com/images/I/41yP20BIXDL._SX313_BO1,204,203,200_.jpg",PM,Psychology,2007,en,PM24,1
9780765646941,Consumer Psychology in a Social Media World,,"Claudiu V. Dimofte, Curtis ",Routledge,"https://images-na.ssl-images-amazon.com/images/I/51vPkGF5Y5L._SX331_BO1,204,203,200_.jpg",PM,Psychology,2016,en,PM25,1
9780061241895,Influence,The psychology of persuasion,Robert B. Cialdini,HarperCollins,https://images-na.ssl-images-amazon.com/images/I/512-B-1yXuL.jpg,PM,Psychology,2007,en,PM26,1
9780670921348,Difficult Conversations,How to Discuss What Matters Most,"Douglas Stone, Bruce Patton, Sheila Heen",Penguin Groups,"https://images-na.ssl-images-amazon.com/images/I/418o27lNqRL._SX324_BO1,204,203,200_.jpg",PM,Communication,2011,en,PM27,1
9781904838388,Riding the Waves of Culture,Understanding the Diversity in Global Business,"Fons Trompennaars, Charles Hampden-Turner",Nicholas Brealey ,"https://images-na.ssl-images-amazon.com/images/I/51LV2-MZ-YL._SX341_BO1,204,203,200_.jpg",PM,Economics,2012,en,PM28,1
9781449305178,Running Lean,Itarete from Plan A . to a Plan That Works,Ash Maurya,O'Reilly Media,https://images-na.ssl-images-amazon.com/images/I/71ailrFby9L.jpg,PM,Startup,2012,en,PM29,1
9780753545379,Hacking Growth,How Today's Fastest Growing Companies Drive Breakouts Success,"Sean Ellis, Morgan Brown",Penguin Random House,"https://images-na.ssl-images-amazon.com/images/I/51jQCLAk9SL._SX329_BO1,204,203,200_.jpg",PM,Economics,2017,en,PM30,1
9781473953468,"a very short, fairly interesting and reasonably cheap book about studying organization",Fourth Edition,Chris Grey,SAGE,"https://images-na.ssl-images-amazon.com/images/I/41SiGWFQH3L._SX324_BO1,204,203,200_.jpg",PM,Organizational management/Business,2017,en,PM31,1
9783867745758,Digital innovation playbook,,Dark hourse innovation,Murmann ,https://media.hugendubel.de/shop/coverscans/299/29942683_9783867745758_xl.jpg,PM,Startup,2017,en,PM32,5
